iter	Passed	Remaining
0	0	80
1	1	69
2	1	64
3	2	57
4	2	55
5	3	53
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	53
12	8	55
13	9	58
14	10	59
15	11	60
16	12	59
17	12	58
18	13	56
19	13	55
20	14	54
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
