iter	Passed	Remaining
0	143	143369
1	145	72415
2	146	48816
3	148	36902
4	149	29769
5	151	25021
6	152	21567
7	153	18995
8	154	16978
9	155	15361
10	156	14031
11	156	12925
12	157	11984
13	158	11173
14	159	10468
15	159	9836
16	160	9282
17	161	8796
18	161	8362
19	162	7963
20	163	7605
21	163	7282
22	164	6983
23	164	6708
24	165	6454
25	166	6220
26	166	6005
27	167	5803
28	167	5615
29	168	5444
30	169	5284
31	169	5133
32	170	4994
33	170	4858
34	171	4728
35	172	4607
36	172	4492
37	173	4384
38	173	4281
39	174	4182
40	174	4088
41	175	4002
42	176	3929
43	177	3850
44	177	3773
45	178	3699
46	178	3629
47	179	3560
48	180	3496
49	181	3451
50	182	3393
51	182	3334
52	183	3280
53	184	3226
54	184	3174
55	185	3123
56	185	3074
57	186	3028
58	187	2982
59	187	2938
60	188	2897
61	188	2855
62	189	2815
63	189	2776
64	190	2743
65	191	2709
66	192	2674
67	192	2641
68	193	2607
69	193	2575
70	194	2543
71	194	2512
72	195	2483
73	196	2453
74	196	2423
75	197	2396
76	197	2371
77	198	2345
78	199	2320
79	199	2295
80	200	2270
81	200	2246
82	201	2221
83	201	2198
84	202	2175
85	202	2153
86	203	2132
87	203	2112
88	204	2093
89	205	2074
90	205	2056
91	206	2039
92	207	2021
93	207	2003
94	208	1985
95	208	1967
96	209	1950
97	210	1933
98	210	1917
99	211	1902
100	211	1886
101	212	1870
102	212	1854
103	213	1839
104	214	1824
105	214	1809
106	215	1794
107	215	1783
108	217	1774
109	217	1762
110	218	1749
111	218	1735
112	219	1722
113	219	1709
114	220	1697
115	221	1685
116	221	1674
117	222	1663
118	223	1652
119	223	1640
120	224	1629
121	224	1618
122	225	1607
123	226	1597
124	226	1586
125	227	1576
126	227	1564
127	228	1554
128	228	1544
129	229	1534
130	229	1523
131	230	1513
132	230	1504
133	231	1494
134	231	1486
135	232	1477
136	233	1468
137	233	1459
138	234	1450
139	234	1441
140	235	1433
141	235	1424
142	236	1418
143	237	1410
144	237	1402
145	238	1394
146	239	1386
147	239	1379
148	240	1372
149	240	1365
150	241	1357
151	241	1350
152	242	1342
153	243	1335
154	243	1327
155	244	1320
156	244	1313
157	245	1306
158	245	1299
159	246	1292
160	246	1285
161	247	1278
162	247	1272
163	248	1266
164	248	1259
165	249	1252
166	249	1246
167	250	1240
168	251	1235
169	251	1230
170	252	1225
171	253	1219
172	253	1213
173	254	1208
174	255	1202
175	255	1196
176	256	1191
177	256	1185
178	257	1179
179	257	1174
180	258	1168
181	258	1163
182	259	1158
183	260	1153
184	260	1148
185	261	1143
186	261	1138
187	262	1132
188	262	1127
189	263	1122
190	263	1117
191	264	1112
192	264	1107
193	265	1102
194	265	1098
195	266	1093
196	267	1089
197	267	1084
198	268	1080
199	268	1075
200	269	1071
201	270	1067
202	270	1063
203	271	1058
204	271	1054
205	272	1050
206	273	1046
207	273	1041
208	274	1037
209	274	1033
210	275	1029
211	275	1025
212	276	1021
213	276	1017
214	277	1012
215	277	1008
216	278	1005
217	279	1002
218	279	998
219	280	994
220	281	991
221	282	989
222	282	985
223	283	982
224	284	978
225	284	974
226	285	971
227	285	967
228	286	963
229	286	960
230	287	956
231	288	953
232	288	950
233	289	946
234	289	943
235	290	939
236	290	936
237	291	932
238	291	929
239	292	926
240	293	923
241	293	920
242	294	916
243	294	913
244	295	910
245	296	907
246	296	904
247	297	901
248	297	898
249	298	895
250	299	892
251	299	889
252	300	886
253	300	883
254	301	880
255	301	877
256	302	874
257	302	871
258	303	868
259	304	865
260	304	862
261	305	859
262	305	856
263	306	853
264	306	851
265	307	849
266	308	846
267	309	844
268	309	841
269	310	839
270	311	836
271	311	834
272	312	832
273	313	830
274	313	827
275	314	824
276	315	822
277	315	819
278	316	817
279	316	814
280	317	812
281	317	809
282	318	806
283	319	804
284	319	801
285	320	799
286	320	797
287	321	794
288	321	791
289	322	789
290	323	787
291	323	784
292	324	782
293	324	780
294	325	777
295	325	775
296	326	772
297	327	770
298	327	768
299	328	766
300	328	763
301	329	761
302	329	758
303	330	756
304	331	754
305	331	752
306	332	750
307	332	747
308	333	745
309	334	743
310	334	741
311	335	739
312	335	736
313	336	734
314	336	732
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	720
321	341	718
322	341	716
323	342	714
324	343	712
325	343	710
326	344	708
327	345	706
328	345	705
329	346	703
330	346	701
331	347	699
332	348	697
333	349	696
334	349	694
335	350	692
336	350	690
337	351	688
338	352	686
339	352	684
340	353	682
341	354	681
342	354	679
343	355	677
344	355	675
345	356	673
346	356	671
347	357	669
348	358	668
349	358	666
350	359	664
351	360	662
352	360	660
353	361	659
354	361	657
355	362	655
356	362	653
357	363	652
358	364	650
359	364	648
360	365	647
361	366	645
362	366	643
363	367	641
364	368	640
365	368	638
366	369	636
367	369	635
368	370	633
369	371	631
370	371	630
371	372	628
372	373	627
373	373	625
374	374	624
375	375	622
376	375	620
377	376	618
378	376	617
379	377	616
380	378	614
381	378	612
382	379	611
383	380	609
384	381	608
385	381	607
386	382	605
387	383	604
388	383	602
389	384	601
390	384	599
391	385	597
392	386	596
393	386	594
394	387	593
